cca3,decade_start,decade_end,mean_temp_c,warming_c_per_decade,detrended_volatility_c,mean_uncertainty_c
CHN,1990,1999,7.344066666666666,0.6612626262626264,0.35518326017303425,0.16601666666666665
CHN,2000,2009,7.672875,0.4584595959595966,0.221098388463642,0.17675
CIV,1960,1969,26.07244166666667,0.06500505050504904,0.19643029992631833,0.27443333333333336
CIV,1970,1979,26.120675,0.03795454545454689,0.28443776827905465,0.22541666666666668
CIV,1980,1989,26.380808333333334,0.2964696969696984,0.26499480470522985,0.26935
CIV,1990,1999,26.43854166666667,0.3710555555555555,0.20634394630556704,0.28051666666666664
CIV,2000,2009,26.795683333333336,0.3575656565656568,0.12633281902770407,0.37828333333333336
CMR,1960,1969,24.41811666666667,0.11691919191919066,0.12351052344404341,0.24441666666666667
CMR,1970,1979,24.503425,0.13787373737373582,0.24204553604027082,0.243075
CMR,1980,1989,24.5322,0.04156565656565795,0.2514423349998039,0.30265000000000003
CMR,1990,1999,24.753008333333334,0.2984898989899001,0.24073862034160798,0.4182166666666666
CMR,2000,2009,25.069783333333334,0.7679595959595936,0.12906981376628754,0.4580416666666666
COD,1960,1969,23.755425000000002,0.0547929292929301,0.11436670028599415,0.2523166666666667
COD,1970,1979,23.893324999999997,0.24967171717171663,0.21367283116607483,0.2217083333333333
COD,1980,1989,24.122983333333334,0.06890909090909288,0.23681861680855223,0.32838333333333336
COD,1990,1999,24.26676666666667,0.33728282828283107,0.21285946810335182,0.3731583333333333
COD,2000,2009,24.491733333333332,0.1842323232323263,0.21109877812637873,0.43771666666666675
COG,1960,1969,24.537858333333332,0.045186868686867124,0.1263245500205619,0.22407499999999997
COG,1970,1979,24.582158333333332,0.14566161616161413,0.23509051464238706,0.22559999999999997
COG,1980,1989,24.713366666666666,0.19657575757575915,0.2038981632355207,0.24750833333333336
COG,1990,1999,24.883900000000004,0.4981111111111117,0.2420521697499486,0.2932166666666667
COG,2000,2009,25.11745,0.6493737373737352,0.08543837486597075,0.39669999999999994
COL,1960,1969,25.01265,0.013373737373738,0.12612677156209398,0.27290000000000003
COL,1970,1979,24.936550000000004,0.38971717171716613,0.24430253598186097,0.2447
COL,1980,1989,25.2022,-0.25266666666667037,0.27164804469236326,0.2477333333333333
COL,1990,1999,25.343600000000002,0.061686868686865806,0.2840684846563145,0.2633833333333333
COL,2000,2009,25.463575,0.1626919191919203,0.20789511694201948,0.25734166666666664
COM,1960,1969,25.738774999999997,0.008277777777777398,0.30169265763485603,0.27956666666666663
COM,1970,1979,25.77938333333334,0.3234141414141405,0.2205495759479125,0.28556666666666664
COM,1980,1989,26.011374999999997,0.09686363636363744,0.26289983055049554,0.31195833333333334
COM,1990,1999,26.277750000000005,0.2461313131313139,0.17329117175869793,0.36064166666666664
COM,2000,2009,26.4594,0.20716161616161538,0.2128705239138697,0.33760833333333334
CPV,1960,1969,24.273333333333333,0.2193939393939388,0.3288496367854421,0.49523333333333336
CPV,1970,1979,24.300975,0.4319242424242449,0.3708407991530841,0.6608583333333333
CPV,1980,1989,24.53271666666667,0.0226565656565674,0.24818437924607428,0.7502083333333334
CPV,1990,1999,24.86723333333334,0.6243535353535339,0.3079022511429311,0.6731083333333334
CPV,2000,2009,24.93886666666667,-0.23327272727272794,0.19983370394205427,0.7236666666666667
CRI,1960,1969,25.746858333333336,-0.13426767676767265,0.1793168887628428,0.42460000000000003
CRI,1970,1979,25.762949999999996,0.3599191919191914,0.2292023669570323,0.40157500000000007
CRI,1980,1989,26.015525000000004,0.12965151515151238,0.35781038032174683,0.3645333333333333
CRI,1990,1999,26.35871666666667,0.11973737373737603,0.3313743991966609,0.3679
CRI,2000,2009,26.34803333333333,0.22532323232323373,0.18967986754302918,0.34849166666666664
CUB,1960,1969,25.527566666666665,-0.1445656565656597,0.17472118262338315,0.32133333333333336
CUB,1970,1979,25.625250000000005,0.1605353535353565,0.13548705564200406,0.265625
CUB,1980,1989,25.811266666666665,0.12957575757575637,0.16528021057542244,0.281575
CUB,1990,1999,26.106958333333335,0.1334797979797972,0.277197933626918,0.31572500000000003
CUB,2000,2009,26.124033333333337,0.15830303030302975,0.1884847357077954,0.3462833333333334
CUW,1960,1969,27.646449999999998,0.0668080808080787,0.20466481183606242,0.3580583333333333
CUW,1970,1979,27.594675000000002,0.2690151515151519,0.294200595662579,0.33385833333333326
CUW,1980,1989,27.793625000000002,-0.2577020202020207,0.308888695482947,0.3153666666666667
CUW,1990,1999,27.956141666666667,0.3539747474747463,0.20976237515591586,0.3378333333333333
CUW,2000,2009,28.090475000000005,0.3683484848484869,0.21183360301132345,0.36113333333333336
CYM,1960,1969,26.8625,-0.37025252525252694,0.1754230214038573,0.35905000000000004
CYM,1970,1979,26.936600000000006,0.20875757575757156,0.11740844942128545,0.31905
CYM,1980,1989,27.130625,0.12296464646464586,0.1586696436839329,0.31301666666666667
CYM,1990,1999,27.409550000000003,0.19620202020201968,0.23376661285045863,0.34259999999999996
CYM,2000,2009,27.491041666666668,0.18159090909091039,0.1763536093725352,0.405725
CYP,1960,1969,19.246175,-0.7783383838383829,0.4660977707144127,0.32710833333333333
CYP,1970,1979,18.98910833333333,0.34563131313131246,0.2911883336289436,0.3287833333333333
CYP,1980,1989,18.95406666666667,0.3284545454545467,0.2656612409620481,0.27879166666666666
CYP,1990,1999,19.25460833333333,1.1560656565656569,0.491443429537003,0.27634166666666665
CYP,2000,2009,19.788841666666666,0.47614646464646493,0.21503866425153073,0.27702499999999997
CZE,1960,1969,7.711333333333333,0.1222929292929291,0.646122275511442,0.2864749999999999
CZE,1970,1979,7.921016666666665,0.18147474747474684,0.4364796030124043,0.2766166666666666
CZE,1980,1989,7.909699999999999,0.7467272727272727,0.7093986498552036,0.23354166666666668
CZE,1990,1999,8.442733333333333,-0.23391919191919197,0.7544166624856516,0.21584166666666665
CZE,2000,2009,8.973375,0.17356060606060517,0.48965534487235524,0.22031666666666666
DEU,1960,1969,8.197700000000001,0.07523232323232398,0.6667271639147143,0.22174166666666667
