cca3,year,annual_mean_temp_c,valid_months,annual_mean_uncertainty_c
MCO,1999,9.993333333333334,12,0.2866666666666667
MCO,2000,10.2295,12,0.2866666666666667
MCO,2001,10.211833333333333,12,0.2665
MCO,2002,10.260166666666667,12,0.27075
MCO,2003,10.726083333333333,12,0.3293333333333333
MCO,2004,9.93825,12,0.286
MCO,2005,9.518416666666667,12,0.22991666666666666
MCO,2006,10.454916666666668,12,0.33549999999999996
MCO,2007,10.411,12,0.3455
MCO,2008,9.97425,12,0.24733333333333332
MCO,2009,10.429416666666667,12,0.3269166666666667
MDA,1960,9.941083333333333,12,0.3084166666666667
MDA,1961,9.804499999999999,12,0.31166666666666665
MDA,1962,9.465916666666667,12,0.34175
MDA,1963,8.74475,12,0.3749166666666666
MDA,1964,8.841666666666667,12,0.31075
MDA,1965,8.429,12,0.363
MDA,1966,10.387333333333332,12,0.317
MDA,1967,9.585666666666667,12,0.32358333333333333
MDA,1968,9.478166666666667,12,0.27066666666666667
MDA,1969,8.200083333333334,12,0.32608333333333334
MDA,1970,9.540750000000001,12,0.26666666666666666
MDA,1971,9.333166666666667,12,0.33916666666666667
MDA,1972,9.384666666666668,12,0.36541666666666667
MDA,1973,8.858333333333333,12,0.3055833333333333
MDA,1974,9.362166666666669,12,0.26808333333333334
MDA,1975,10.359583333333335,12,0.28583333333333333
MDA,1976,8.193916666666667,12,0.2990833333333333
MDA,1977,9.403416666666667,12,0.22424999999999998
MDA,1978,8.578666666666665,12,0.26066666666666666
MDA,1979,9.605916666666666,12,0.24883333333333332
MDA,1980,8.12975,12,0.22983333333333333
MDA,1981,9.531666666666668,12,0.23808333333333334
MDA,1982,9.437666666666667,12,0.28641666666666665
MDA,1983,10.054833333333333,12,0.30816666666666664
MDA,1984,9.159583333333332,12,0.28991666666666666
MDA,1985,7.724166666666668,12,0.30716666666666664
MDA,1986,9.17075,12,0.24949999999999997
MDA,1987,8.015666666666666,12,0.3160833333333333
MDA,1988,8.950666666666667,12,0.22566666666666665
MDA,1989,10.511166666666666,12,0.21358333333333335
MDA,1990,10.875583333333333,12,0.2813333333333333
MDA,1991,9.18325,12,0.21
MDA,1992,9.753333333333334,12,0.298
MDA,1993,8.870166666666666,12,0.28091666666666665
MDA,1994,10.664166666666667,12,0.25608333333333333
MDA,1995,9.477916666666667,12,0.21033333333333334
MDA,1996,8.573333333333332,12,0.2844166666666667
MDA,1997,8.690666666666667,12,0.259
MDA,1998,9.532,12,0.2525833333333333
MDA,1999,10.629166666666668,12,0.29283333333333333
MDA,2000,10.69,12,0.2624166666666667
MDA,2001,10.000833333333333,12,0.24525
MDA,2002,10.541083333333335,12,0.27166666666666667
MDA,2003,9.428416666666667,12,0.2916666666666667
MDA,2004,9.901833333333334,12,0.27991666666666665
MDA,2005,9.842666666666668,12,0.29333333333333333
MDA,2006,9.591833333333334,12,0.314
MDA,2007,11.358916666666666,12,0.3496666666666666
MDA,2008,10.744416666666666,12,0.26508333333333334
MDA,2009,10.731916666666665,12,0.29483333333333334
MDG,1960,22.689333333333334,12,0.3255833333333333
MDG,1961,23.433666666666667,12,0.28058333333333335
MDG,1962,22.82525,12,0.29541666666666666
MDG,1963,22.545333333333332,12,0.3546666666666667
MDG,1964,22.488333333333333,12,0.36033333333333334
MDG,1965,22.343416666666666,12,0.29675
MDG,1966,22.918916666666664,12,0.363
MDG,1967,23.15291666666667,12,0.2805
MDG,1968,22.485500000000002,12,0.29641666666666666
MDG,1969,23.40041666666667,12,0.4300833333333333
MDG,1970,23.126,12,0.4343333333333333
MDG,1971,22.583250000000003,12,0.3119166666666667
MDG,1972,22.834750000000003,12,0.33041666666666664
MDG,1973,22.919916666666666,12,0.3140833333333333
MDG,1974,22.56866666666667,12,0.273
MDG,1975,22.577749999999998,12,0.32275000000000004
MDG,1976,22.862416666666665,12,0.29991666666666666
MDG,1977,23.185666666666666,12,0.2549166666666667
MDG,1978,23.171499999999998,12,0.27825
MDG,1979,22.990083333333335,12,0.26633333333333337
MDG,1980,23.018666666666665,12,0.25508333333333333
MDG,1981,22.933916666666665,12,0.287
MDG,1982,23.001083333333337,12,0.25866666666666666
MDG,1983,23.262333333333334,12,0.27358333333333335
MDG,1984,22.674583333333334,12,0.3129166666666667
MDG,1985,22.879833333333334,12,0.32008333333333333
MDG,1986,22.786083333333334,12,0.23016666666666666
MDG,1987,23.367083333333337,12,0.2614166666666667
MDG,1988,23.254916666666663,12,0.2540833333333333
MDG,1989,22.933083333333332,12,0.28400000000000003
MDG,1990,23.124166666666667,12,0.32183333333333336
MDG,1991,23.327,12,0.3516666666666666
