country,cca3,reference_year,population_at_reference,density_at_reference_per_km2,population_growth_prior_decade_pct,prior_decade_mean_temp_c,prior_decade_warming_c_per_decade,prior_decade_detrended_volatility_c,prior_decade_mean_temp_uncertainty_c,area_km2,continent,target_exposure_class
Mozambique,MOZ,1980,11413587,14.23868436482491,35.68743018632672,23.659558333333333,0.06945959595959596,0.21792119605458615,0.245525,801590,Africa,Medium
Mozambique,MOZ,1990,13303459,16.596338527177235,16.558089932639053,23.918716666666665,0.3696161616161614,0.34112419547943185,0.23054166666666664,801590,Africa,Low
Mauritania,MRT,1970,1122198,1.0887726787620065,,27.731399999999997,-0.05700000000000044,0.2811612883412801,0.37063333333333337,1030700,Africa,Low
Mauritania,MRT,1980,1506694,1.461816241389347,34.26275933480545,27.6127,0.415252525252524,0.5734379014946233,0.38397500000000007,1030700,Africa,Low
Mauritania,MRT,1990,2006027,1.9462763170660715,33.14096956648132,28.140525000000004,0.05269191919191679,0.5174562196130571,0.4791833333333334,1030700,Africa,Low
Montserrat,MSR,1970,11402,111.7843137254902,,26.61885833333334,-0.3637727272727303,0.18577005475465172,0.38045,102,North America,Medium
Montserrat,MSR,1980,11452,112.27450980392157,0.43851955797229447,26.53511666666667,0.12765656565656816,0.23663548305885707,0.300125,102,North America,Low
Montserrat,MSR,1990,10805,105.93137254901961,-5.6496681802305275,26.819,-0.19585858585858645,0.2329758346371532,0.2656,102,North America,High
Martinique,MTQ,1970,326428,289.38652482269504,,26.388199999999994,-0.23352525252525316,0.1854062856524736,0.37602499999999994,1128,North America,High
Martinique,MTQ,1980,333786,295.9095744680851,2.254095849620752,26.278991666666666,0.1205707070707086,0.21048155802850874,0.30630833333333335,1128,North America,Medium
Martinique,MTQ,1990,374271,331.8005319148936,12.129028778918238,26.544400000000003,-0.11994949494949696,0.2319882348831609,0.2669916666666666,1128,North America,High
Mauritius,MUS,1970,830115,406.91911764705884,,23.50925833333333,0.17504545454545362,0.3775937977805442,0.3337,2040,Africa,High
Mauritius,MUS,1980,954865,468.07107843137254,15.02803828385224,23.718133333333334,0.5423131313131357,0.27511399257981545,0.33316666666666667,2040,Africa,High
Mauritius,MUS,1990,1090290,534.4558823529412,14.182633147094093,23.826908333333336,0.24918686868686474,0.21617461997332965,0.33497499999999997,2040,Africa,High
Malawi,MWI,1970,4625141,39.03599642145775,,21.405691666666666,0.16025757575757382,0.2541610081613315,0.29430833333333334,118484,Africa,Medium
Malawi,MWI,1980,6267369,52.89633199419331,35.50654996247682,21.460258333333332,0.19718686868686924,0.2146738100367051,0.3054833333333334,118484,Africa,High
Malawi,MWI,1990,9539665,80.51437324870868,52.211637770171194,21.720733333333335,0.28433333333333666,0.393487362731803,0.29594166666666666,118484,Africa,Low
Malaysia,MYS,1970,10306508,31.156029419322074,,26.074283333333334,0.062252525252524574,0.13610864403728531,0.22329999999999997,330803,Asia,Medium
Malaysia,MYS,1980,13215707,39.95038436773548,28.22681552277455,26.108449999999998,0.020757575757578195,0.1836376225148813,0.22383333333333333,330803,Asia,Medium
Malaysia,MYS,1990,17517054,52.95312920378594,32.54723337919039,26.23245,0.059121212121215586,0.19018533166780816,0.20292500000000002,330803,Asia,Medium
Mayotte,MYT,1970,35383,94.60695187165776,,26.418825,-0.004106060606061479,0.32598073530004346,0.3198,374,Africa,High
Mayotte,MYT,1980,52233,139.66042780748663,47.62173925331374,26.431700000000006,0.3228282828282809,0.24957307079774144,0.31527499999999997,374,Africa,Medium
Mayotte,MYT,1990,92659,247.75133689839572,77.39551624451974,26.615025000000003,0.09051010101009724,0.25069898762869924,0.30995833333333334,374,Africa,High
Namibia,NAM,1970,754467,0.9138242401119165,,20.633166666666668,-0.16939393939393887,0.1609303256848382,0.5632333333333333,825615,Africa,Low
Namibia,NAM,1980,975994,1.182141797326841,29.36205294598704,20.56025,-0.39173737373737216,0.3749952668487931,0.49340833333333334,825615,Africa,Low
Namibia,NAM,1990,1369011,1.6581711814828946,40.26838279743523,20.970774999999996,0.31824747474747395,0.2615439604131244,0.5760083333333333,825615,Africa,Low
New Caledonia,NCL,1970,110982,5.974804845222073,,22.628333333333334,-0.2073838383838394,0.2997087023222077,0.37567500000000004,18575,Oceania,Low
New Caledonia,NCL,1980,148599,7.9999461641991925,33.89468562469589,22.99926666666667,-0.3029797979797978,0.2984466766270802,0.37392499999999995,18575,Oceania,Medium
New Caledonia,NCL,1990,177264,9.54314939434724,19.2901701895706,23.091749999999998,0.44053535353535334,0.2577405234566821,0.34453333333333336,18575,Oceania,Medium
Niger,NER,1970,4669708,3.6856416732438833,,27.490383333333334,0.7117272727272712,0.45778253601528235,0.5066750000000001,1267000,Africa,Low
